Place Name,State/Region,Type of Place,Suitable Season(s),Budget (INR),Mid-range (INR),Luxury (INR),Recommended for
Manali,Himachal Pradesh,Hill Station,Summer,1350,3300,7700,"Family, Couple, Friends"
Shimla,Himachal Pradesh,Hill Station,Summer,1050,3000,7650,"Family, Couple, Friends"
Nainital,Uttarakhand,Hill Station,Summer,1300,2750,7900,"Family, Couple, Friends"
Mussoorie,Uttarakhand,Hill Station,Summer,1200,3450,8000,"Family, Couple, Friends"
Darjeeling,West Bengal,Hill Station,Summer,1050,3300,8350,"Couple, Friends"
Ooty (Udhagamandalam),Tamil Nadu,Hill Station,"Summer, Monsoon",900,2600,6500,"Family, Couple"
Munnar,Kerala,Hill Station,"Summer, Monsoon",1440,3000,8500,"Family, Couple, Friends"
Matheran,Maharashtra,Hill Station,"Monsoon, Winter",850,2300,5700,"Couple, Friends, Family"
Mahabaleshwar,Maharashtra,Hill Station,"Winter, Monsoon",1000,2600,7000,"Family, Couple"
Panchgani,Maharashtra,Hill Station,"Winter, Monsoon",890,2950,6800,"Family, Friends"
Coorg (Madikeri),Karnataka,Hill Station,"Winter, Monsoon",1320,3100,8400,"Couple, Family"
Shillong,Meghalaya,Hill Station,"Summer, Monsoon",1150,2800,7500,"Couple, Family"
Kodaikanal,Tamil Nadu,Hill Station,"Winter, Monsoon",980,2700,6400,"Family, Couple, Friends"
Chikmagalur,Karnataka,Hill Station,"Winter, Monsoon",1100,3050,8000,"Family, Couple"
Kausani,Uttarakhand,Hill Station,Summer,880,2350,6100,"Family, Couple, Friends"
Dalhousie,Himachal Pradesh,Hill Station,"Summer, Winter",1260,3225,7800,"Family, Couple"
Ranikhet,Uttarakhand,Hill Station,Summer,1400,3500,8200,"Family, Couple"
Tirthan Valley,Himachal Pradesh,Hill Station,Summer,920,2500,6000,"Couple, Family"
Araku Valley,Andhra Pradesh,Hill Station,"Winter, Monsoon",960,2650,6200,"Family, Couple"
Wayanad,Kerala,Hill Station,"Winter, Monsoon",1150,2900,7500,"Family, Couple, Friends"
Gulmarg,Jammu & Kashmir,Hill Station,Winter,1600,4000,10500,"Family, Couple, Friends"
Pahalgam,Jammu & Kashmir,Hill Station,Summer,1000,2700,7000,"Family, Couple"
Arambol Beach,Goa,Beach,Winter,1150,3500,9500,"Friends, Couple"
Palolem Beach,Goa,Beach,Winter,1300,4000,11500,"Family, Friends, Couple"
Calangute Beach,Goa,Beach,Winter,1450,4200,12000,"Friends, Couple"
Baga Beach,Goa,Beach,Winter,900,2800,8500,"Friends, Family"
Varkala Beach,Kerala,Beach,Winter,1000,3000,9000,"Couple, Friends"
Kovalam Beach,Kerala,Beach,Winter,850,2600,7000,"Couple, Family"
Mandarmani Beach,West Bengal,Beach,Winter,800,2400,6500,"Family, Couple"
Diu Beach,Daman and Diu,Beach,Winter,1200,3400,10500,"Couple, Family"
Radhanagar Beach,Andaman & Nicobar,Beach,Winter,1400,3800,13000,"Family, Couple"
Elephant Beach,Andaman & Nicobar,Beach,Winter,1150,3500,11000,"Friends, Couple"
Ujjwal Beach,Odisha,Beach,Winter,800,2500,6000,"Family, Couple"
Rushikonda Beach,Andhra Pradesh,Beach,Winter,950,2800,7500,"Family, Friends"
Marina Beach,Tamil Nadu,Beach,Winter,900,2600,6500,"Family, Friends"
Tarkarli Beach,Maharashtra,Beach,Winter,800,2200,5800,"Family, Friends"
Ganpatipule Beach,Maharashtra,Beach,Winter,1000,3000,8500,"Family, Couple"
Digha Beach,West Bengal,Beach,Winter,700,2000,5000,"Family"
Agonda Beach,Goa,Beach,Winter,1150,3500,9500,"Couple, Friends"
Murud-Janjira-Beach,Maharashtra,Beach,Winter,800,2400,6000,"Family, Couple"
Konark Beach,Odisha,Beach,Winter,850,2500,6800,"Couple, Friends"
Rishikesh (River Rafting),Uttarakhand,Adventure,Summer,1500,3550,9300,"Friends, Couple"
Bir (Paragliding),Himachal Pradesh,Adventure,Summer,1350,3250,8800,"Friends, Couple"
Auli (Ski Resort),Uttarakhand,Adventure,Winter,1700,3800,11000,"Friends"
Gulmarg (Ski Resort),Jammu & Kashmir,Adventure,Winter,1600,3900,10500,"Friends"
Zanskar Valley (Trek),Himachal Pradesh,Adventure,Summer,1400,3500,9000,"Friends"
Valley of Flowers (Trek),Uttarakhand,Adventure,Summer,1250,3000,8000,"Friends"
Dudhsagar Falls (Trek),Goa,Adventure,Winter,1450,3600,9700,"Couple, Friends"
(Chadar Trek)Lahaul,Himachal Pradesh,Adventure,Winter,1800,4200,12000,"Friends"
Ziro Valley (Trek/ Festival),Arunachal Pradesh,Adventure,Summer,1350,3250,8800,"Friends"
Dzukou Valley Trek,Nagaland,Adventure,Summer,1500,3500,10000,"Friends"
(Hot Air Balloon)Jaipur,Rajasthan,Adventure,Winter,1300,3200,8500,"Couple"
Leh,Ladakh (UT),Desert (Cold Desert),Summer,1500,3500,9000,"Friends, Couple"
Nubra Valley,Ladakh (UT),Desert (Cold Desert),Summer,1400,3300,8600,"Friends"
Little Rann of Kutch,Gujarat,Desert,Winter,1050,2750,7800,"Family"
Rann of Kutch,Gujarat,Desert (Salt Desert),Winter,1000,2500,7000,"Couple"
Jaisalmer,Rajasthan,Desert,Winter,1200,3000,8000,"Friends, Family"
Khuri Dunes,Rajasthan,Desert,Winter,950,2600,6400,"Friends"
Pushkar,Rajasthan,"Desert (Camel Safari)",Winter,1050,2900,7500,"Friends, Family"
Bikaner,Rajasthan,Desert,Winter,900,2700,7100,"Friends"
Sam Sand Dunes,Rajasthan,"Desert (Camel Safari)",Winter,1100,2900,7800,"Friends"
Taj Mahal,Uttar Pradesh,"Heritage (Monument)",All year,800,2000,5000,"Couple, Family"
Fatehpur Sikri,Uttar Pradesh,"Heritage (Monument)","Winter, Spring",1100,2800,7000,"Family, Couple"
Ajanta Caves,Maharashtra,"Heritage (Ancient)",Winter,950,2500,6200,"Friends, Couple"
Ellora Caves,Maharashtra,"Heritage (Ancient)",Winter,1100,3000,8100,"Family"
Khajuraho Temples,Madhya Pradesh,"Heritage (Temple)",Winter,900,2300,6000,"Couple, Family"
Konark Sun Temple,Odisha,"Heritage (Temple)",Winter,850,2600,6400,"Family"
Hampi,Karnataka,"Heritage (Ruins)","Winter, Post-monsoon",1200,3200,9000,"Friends, Couple"
Mysore Palace,Karnataka,"Heritage (Palace)","Winter, Autumn",1000,2700,6500,"Family, Friends"
Amer Fort,Rajasthan,"Heritage (Fort)","Winter, Autumn",1150,3000,8200,"Family, Couple"
Mehrangarh Fort,Rajasthan,"Heritage (Fort)","Winter, Autumn",1100,2900,8000,"Family, Couple"
Jaisalmer Fort,Rajasthan,"Heritage (Fort)",Winter,800,2400,6000,"Friends, Family"
Golconda Fort,Telangana,"Heritage (Fort)",Winter,900,2500,6800,"Friends, Family"
Sanchi Stupa,Madhya Pradesh,"Heritage (Buddhist)","Winter, Post-monsoon",800,2300,6000,"Family, Friends"
Brihadeeswarar Temple,Tamil Nadu,"Heritage (Temple)",Winter,950,2600,6500,"Family, Couple"
Rani-ki-Vav,Gujarat,"Heritage (Stepwell)",Winter,850,2200,5800,"Couple, Friends"
Varanasi (Ganges Ghats),Uttar Pradesh,Religious,All year,800,2000,5000,"Family, Couple"
Haridwar,Uttarakhand,Religious,All year,900,2500,6200,"Family, Couple"
Amritsar (Golden Temple),Punjab,Religious,All year,850,2400,5800,"Family, Couple"
Vaishno Devi,Jammu & Kashmir,Religious,"Summer, Autumn",950,2800,7000,"Family"
Kedarnath,Uttarakhand,Religious,Summer,1100,3000,8200,"Family, Friends"
Badrinath,Uttarakhand,Religious,Summer,800,2300,6000,"Family"
Puri (Jagannath Temple),Odisha,Religious,All year,900,2600,6600,"Family"
Dwarka,Gujarat,Religious,Winter,850,2500,6200,"Family"
Somnath,Gujarat,Religious,Winter,800,2400,6000,"Family"
Mount Abu,Rajasthan,Hill Station,"Summer, Winter",1100,2800,7200,"Family, Couple"
Lonavala,Maharashtra,Hill Station,"Monsoon, Winter",950,2500,6300,"Family, Friends, Couple"
Khandala,Maharashtra,Hill Station,"Monsoon, Winter",1000,2650,6500,"Family, Friends, Couple"
Igatpuri,Maharashtra,Hill Station,"Monsoon, Winter",880,2400,6000,"Friends, Couple"
Gangtok,Sikkim,Hill Station,"Summer, Autumn",1200,3100,7900,"Family, Couple, Friends"
Pelling,Sikkim,Hill Station,"Summer, Autumn",1150,3000,7800,"Family, Couple, Friends"
Kalimpong,West Bengal,Hill Station,"Summer, Winter",1000,2700,7500,"Family, Couple, Friends"
Mcleodganj,Himachal Pradesh,Hill Station,Summer,900,2500,6500,"Friends, Couple"
Spiti Valley,Himachal Pradesh,"Desert (Cold Desert)",Summer,1600,3800,9500,"Friends, Couple"
Ladakh (General),Jammu & Kashmir,"Desert (Cold Desert)",Summer,1500,3600,9200,"Friends, Couple"
Jodhpur,Rajasthan,Desert,Winter,1100,2800,7500,"Family, Couple"
Udaipur,Rajasthan,"Heritage (Lake City)",Winter,1300,3400,9000,"Family, Couple"
Pushkar,Rajasthan,Religious,Winter,900,2500,6300,"Family, Couple"
Ajmer (Dargah Sharif),Rajasthan,Religious,"Winter, Spring",950,2700,6700,"Family"
Bodh Gaya,Bihar,Religious,Winter,900,2600,6500,"Family, Couple"
Shirdi,Maharashtra,Religious,Winter,800,2300,6000,"Family, Friends"
Tirupati,Andhra Pradesh,Religious,Winter,850,2400,6300,"Family"
Kamakhya,Assam,Religious,Spring,800,2250,5700,"Family"
Ujjain (Mahakaleshwar),Madhya Pradesh,Religious,Winter,950,2700,6600,"Family"
Rameswaram,Tamil Nadu,Religious,Winter,850,2500,6000,"Couple, Family"
Mathura-Vrindavan,Uttar Pradesh,Religious,All year,900,2600,6500,"Family"
